ship_id	ship_name	faction	image
JEDISTARFIGHTERAHSOKATANO	Ahsoka Tano's Jedi Starfighter	Galactic Republic	https://game-assets.swgoh.gg/textures/tex.charui_jedi_fighter_ahsoka.png
JEDISTARFIGHTERANAKIN	Anakin's Eta-2 Starfighter	Galactic Republic	https://game-assets.swgoh.gg/textures/tex.charui_jedi_fighter_anakin.png
SITHBOMBER	B-28 Extinction-class Bomber	Sith	https://game-assets.swgoh.gg/textures/tex.charui_b28extinctionclassbomber.png
YWINGCLONEWARS	BTL-B Y-wing Starfighter	Galactic Republic	https://game-assets.swgoh.gg/textures/tex.charui_ywing_btlb.png
XWINGRED3	Biggs Darklighter's X-wing	Rebel	https://game-assets.swgoh.gg/textures/tex.charui_xwing_red3.png
UWINGSCARIF	Bistan's U-wing	Rebel	https://game-assets.swgoh.gg/textures/tex.charui_uwing.png
UWINGROGUEONE	Cassian's U-wing	Rebel	https://game-assets.swgoh.gg/textures/tex.charui_uwing_hero.png
CAPITALCHIMAERA	Chimaera	Empire	https://game-assets.swgoh.gg/textures/tex.charui_chimaera.png
ARC170CLONESERGEANT	Clone Sergeant's ARC-170	Galactic Republic	https://game-assets.swgoh.gg/textures/tex.charui_arc170.png
COMEUPPANCE	Comeuppance	Resistance	https://game-assets.swgoh.gg/textures/tex.charui_comeuppance.png
EBONHAWK	Ebon Hawk	Any	https://game-assets.swgoh.gg/textures/tex.charui_ebonhawk.png
EMPERORSSHUTTLE	Emperor's Shuttle	Empire	https://game-assets.swgoh.gg/textures/tex.charui_imperialshuttle.png
EMPERORSSHUTTLE	Emperor's Shuttle	Sith	https://game-assets.swgoh.gg/textures/tex.charui_imperialshuttle.png
CAPITALJEDICRUISER	Endurance	Galactic Republic	https://game-assets.swgoh.gg/textures/tex.charui_venator.png
CAPITALEXECUTOR	Executor	Empire	https://game-assets.swgoh.gg/textures/tex.charui_executor.png
CAPITALSTARDESTROYER	Executrix	Empire	https://game-assets.swgoh.gg/textures/tex.charui_stardestroyer.png
CAPITALFINALIZER	Finalizer	First Order	https://game-assets.swgoh.gg/textures/tex.charui_finalizer.png
TIEFIGHTERFOSF	First Order SF TIE Fighter	First Order	https://game-assets.swgoh.gg/textures/tex.charui_fosf_tie_fighter.png
TIEFIGHTERFIRSTORDER	First Order TIE Fighter	First Order	https://game-assets.swgoh.gg/textures/tex.charui_firstorder_tiefighter.png
FURYCLASSINTERCEPTOR	Fury-class Interceptor	Sith	https://game-assets.swgoh.gg/textures/tex.charui_furyclassinterceptor.png
GAUNTLETSTARFIGHTER	Gauntlet Starfighter	Empire	https://game-assets.swgoh.gg/textures/tex.charui_gauntlet.png
